plant,insect_name,damage,min_temp,max_temp,avg_temp,humidity,rain
Sugarcane,Pyrilla,Stalk tunneling,25,35,30.0,52-81,Moderate
Rice,Gall Midge,Fruit infestation,26,37,31.5,65-94,Low
Maize,Corn Earworm,Bud/leaf damage,26,37,31.5,74-87,High
Maize,Fall Armyworm,Nut damage/yield loss,21,37,29.0,65-89,Moderate
Soybean,Corn Earworm,Fruit infestation,24,34,29.0,85-87,Low
Coconut,Red Palm Weevil,Leaf webbing,20,35,27.5,71-93,High
Rice,Yellow Stem Borer,Shoot tunneling,23,36,29.5,71-83,Moderate
Cotton,Whitefly,Sap sucking/hopper burn,24,38,31.0,68-91,Low
Rice,Gall Midge,Top leaf damage,26,37,31.5,76-74,Moderate
Coconut,Leaf Eating Caterpillar,Nut damage/yield loss,23,35,29.0,73-86,High
Cotton,Whitefly,Leaf webbing,26,36,31.0,83-77,High
Sugarcane,White Grub,Nut damage/yield loss,21,37,29.0,81-78,High
Maize,Fall Armyworm,Nut damage/yield loss,24,36,30.0,80-87,Low
Soybean,Bean Leaf Beetle,Sap sucking/viruses,22,40,31.0,88-75,Low
Banana,Fruit Fly (Bactrocera),Top leaf damage,20,40,30.0,68-75,Moderate
Cotton,Cotton Leafworm,Nut damage/yield loss,23,38,30.5,76-82,Moderate
Potato,Cutworm,Shoot tunneling,20,35,27.5,83-94,Low
Sugarcane,Pyrilla,Sap sucking/hopper burn,22,40,31.0,66-77,Low
Wheat,Aphids,Leaf/frond damage,23,35,29.0,60-74,High
Wheat,Armyworm,Fruit infestation,25,38,31.5,55-75,Moderate
Potato,Cutworm,Trunk boring,23,34,28.5,71-89,Low
Banana,Aphids,Trunk boring,21,39,30.0,87-74,High
Potato,Potato Beetle,Nut damage/yield loss,23,34,28.5,62-78,Moderate
Banana,Panama Wilt (Fusarium),Nut damage/yield loss,26,40,33.0,84-85,Low
Wheat,Aphids,Leaf defoliation,20,40,30.0,83-90,Moderate
Coconut,Coconut Eriophyid Mite,Root feeding,22,39,30.5,56-90,Moderate
Maize,Fall Armyworm,Leaf defoliation,23,35,29.0,59-94,Moderate
Rice,Gall Midge,Sap sucking/viruses,26,38,32.0,56-93,Moderate
Wheat,Aphids,Stalk tunneling,23,40,31.5,76-84,High
Rice,Brown Plant Hopper,Shoot tunneling,21,37,29.0,55-91,High
Wheat,Aphids,Nut damage/yield loss,24,35,29.5,80-84,Moderate
Cotton,Cotton Leafworm,Nut damage/yield loss,20,35,27.5,50-80,Low
Sugarcane,Pyrilla,Leaf webbing,24,34,29.0,89-73,Moderate
Soybean,Corn Earworm,Nut damage/yield loss,26,40,33.0,54-71,Low
Sugarcane,White Grub,Leaf/frond damage,23,38,30.5,53-78,High
Rice,Leaf Folder,Fruit infestation,25,36,30.5,62-89,High
Soybean,Corn Earworm,Fruit infestation,20,40,30.0,71-77,High
Soybean,Cutworm,Sap sucking/viruses,22,36,29.0,70-76,High
Rice,Gall Midge,Leaf defoliation,22,39,30.5,64-90,Moderate
Coconut,Red Palm Weevil,Leaf webbing,22,38,30.0,61-92,High
Coconut,Coconut Eriophyid Mite,Leaf/frond damage,26,37,31.5,76-79,Moderate
Potato,Potato Beetle,Nut damage/yield loss,21,35,28.0,90-79,High
Maize,Rootworm,Fruit infestation,26,34,30.0,80-95,Moderate
Banana,Weevil Borer,Stalk tunneling,21,36,28.5,57-71,High
Rice,Gall Midge,Root/stem rot,21,37,29.0,50-76,Low
Potato,Potato Beetle,Trunk boring,25,40,32.5,54-71,Moderate
Banana,Aphids,Stalk tunneling,20,38,29.0,54-93,Moderate
Coconut,Leaf Eating Caterpillar,Top leaf damage,24,40,32.0,52-70,Moderate
Maize,Stem Borer,Nut damage/yield loss,24,35,29.5,57-91,Moderate
Rice,Gall Midge,Stalk tunneling,26,35,30.5,82-84,Low
Coconut,Red Palm Weevil,Sap sucking/viruses,25,37,31.0,71-79,High
Rice,Yellow Stem Borer,Sap sucking/viruses,23,38,30.5,68-84,Moderate
Maize,Rootworm,Leaf defoliation,24,34,29.0,73-93,Moderate
Potato,Leafhopper,Root feeding,23,38,30.5,86-90,Low
Cotton,Whitefly,Shoot tunneling,22,37,29.5,54-93,High
Maize,Stem Borer,Trunk boring,24,36,30.0,80-73,Low
Wheat,Armyworm,Root feeding,20,36,28.0,75-71,Low
Sugarcane,Pyrilla,Leaf/frond damage,20,36,28.0,58-81,Low
Tomato,Tomato Hornworm,Fruit infestation,22,38,30.0,89-72,Moderate
Tomato,Leaf Miner,Leaf defoliation,20,38,29.0,89-82,Moderate
Cotton,Whitefly,Shoot tunneling,26,36,31.0,59-92,High
Potato,Leafhopper,Shoot tunneling,25,36,30.5,72-71,Low
Cotton,Pink Bollworm,Top leaf damage,23,39,31.0,52-85,High
Sugarcane,White Grub,Top leaf damage,21,36,28.5,75-76,Moderate
Coconut,Coconut Eriophyid Mite,Leaf defoliation,26,40,33.0,74-95,Low
Rice,Leaf Folder,Leaf/frond damage,25,39,32.0,62-87,Moderate
Wheat,Aphids,Root feeding,26,35,30.5,62-78,Moderate
Banana,Aphids,Nut damage/yield loss,20,37,28.5,73-74,Low
Wheat,Aphids,Leaf webbing,23,36,29.5,74-95,Moderate
Coconut,Coconut Eriophyid Mite,Sap sucking/hopper burn,21,38,29.5,85-85,Low
Tomato,Aphids,Root/stem rot,26,36,31.0,54-87,High
Rice,Leaf Folder,Root/stem rot,24,40,32.0,73-86,High
Potato,Cutworm,Leaf defoliation,25,38,31.5,72-91,High
Tomato,Aphids,Sap sucking/viruses,25,40,32.5,61-73,High
Wheat,Stem Sawfly,Fruit infestation,26,35,30.5,52-75,Low
Soybean,Corn Earworm,Sap sucking/hopper burn,24,36,30.0,69-86,Moderate
Potato,Wireworm,Nut damage/yield loss,26,40,33.0,81-84,Moderate
Potato,Cutworm,Sap sucking/viruses,23,36,29.5,79-94,High
Rice,Yellow Stem Borer,Stalk tunneling,20,34,27.0,56-81,Moderate
Wheat,Hessian Fly,Leaf webbing,24,34,29.0,54-74,High
Cotton,Aphids,Leaf/frond damage,26,35,30.5,68-95,Moderate
Tomato,Leaf Miner,Top leaf damage,21,37,29.0,53-88,Low
Cotton,Cotton Leafworm,Bud/leaf damage,26,35,30.5,67-79,High
Banana,Weevil Borer,Leaf/frond damage,23,36,29.5,90-90,Low
Cotton,Aphids,Stalk tunneling,25,40,32.5,53-91,Moderate
Maize,Stem Borer,Top leaf damage,23,37,30.0,75-87,High
Maize,Stem Borer,Leaf webbing,23,39,31.0,81-74,Moderate
Cotton,Aphids,Shoot tunneling,24,36,30.0,55-87,Low
Soybean,Bean Leaf Beetle,Leaf/frond damage,24,40,32.0,53-92,Low
Wheat,Stem Sawfly,Top leaf damage,20,40,30.0,71-73,High
Coconut,Coconut Eriophyid Mite,Leaf/frond damage,21,35,28.0,82-87,Moderate
Tomato,Whitefly,Leaf webbing,25,35,30.0,55-84,Moderate
Banana,Aphids,Root/stem rot,24,36,30.0,70-73,Low
Wheat,Armyworm,Root feeding,26,37,31.5,52-75,Low
Wheat,Armyworm,Leaf defoliation,24,35,29.5,86-84,High
Banana,Aphids,Root/stem rot,25,35,30.0,71-94,Low
Maize,Rootworm,Shoot tunneling,21,34,27.5,62-76,Low
Sugarcane,Pyrilla,Fruit infestation,21,39,30.0,85-74,Low
Sugarcane,Top Borer,Sap sucking/hopper burn,22,37,29.5,74-73,High
Cotton,Pink Bollworm,Fruit infestation,24,39,31.5,79-80,Low
Wheat,Hessian Fly,Leaf defoliation,21,37,29.0,59-71,High
Sugarcane,Top Borer,Leaf webbing,20,35,27.5,61-89,Moderate
Potato,Cutworm,Leaf webbing,24,34,29.0,85-74,High
Banana,Weevil Borer,Bud/leaf damage,25,34,29.5,73-76,Moderate
Soybean,Cutworm,Shoot tunneling,25,35,30.0,55-87,Low
Tomato,Leaf Miner,Bud/leaf damage,22,35,28.5,52-80,Low
Cotton,Aphids,Sap sucking/viruses,21,36,28.5,72-90,Moderate
Cotton,Whitefly,Root feeding,25,35,30.0,83-80,Low
Tomato,Aphids,Leaf webbing,20,35,27.5,66-95,Low
Maize,Stem Borer,Stalk tunneling,24,36,30.0,69-80,Moderate
Potato,Cutworm,Leaf/frond damage,20,37,28.5,75-72,High
Banana,Aphids,Root/stem rot,25,35,30.0,63-89,High
Sugarcane,Top Borer,Shoot tunneling,20,40,30.0,72-95,Moderate
Wheat,Hessian Fly,Root/stem rot,23,38,30.5,65-93,High
Cotton,Cotton Leafworm,Nut damage/yield loss,21,35,28.0,75-84,High
Rice,Brown Plant Hopper,Sap sucking/viruses,24,35,29.5,84-79,Moderate
Wheat,Armyworm,Trunk boring,24,36,30.0,57-78,Low
Banana,Aphids,Bud/leaf damage,24,39,31.5,57-74,Moderate
Sugarcane,Top Borer,Leaf defoliation,26,40,33.0,55-79,Moderate
Banana,Aphids,Leaf/frond damage,22,36,29.0,66-92,High
Potato,Cutworm,Top leaf damage,20,40,30.0,69-70,Low
Cotton,Aphids,Leaf webbing,26,35,30.5,56-74,Low
Soybean,Soybean Aphid,Leaf/frond damage,22,38,30.0,63-74,High
Soybean,Soybean Aphid,Nut damage/yield loss,20,38,29.0,50-70,Low
Potato,Cutworm,Shoot tunneling,20,39,29.5,56-80,High
Banana,Fruit Fly (Bactrocera),Stalk tunneling,21,37,29.0,90-84,Low
Maize,Fall Armyworm,Top leaf damage,26,36,31.0,63-71,Low
Rice,Leaf Folder,Nut damage/yield loss,24,36,30.0,79-72,Low
Brinjal,Shoot and Fruit Borer,Bores into fruits and shoots,22,36,29.0,60-80,Moderate
Brinjal,Jassids,Leaf curling & yellowing,20,35,27.5,50-70,Low
Brinjal,Mites,Leaf discoloration,24,38,31.0,40-60,Low
Onion,Thrips,Silver streaks on leaves,20,35,27.5,50-70,Low
Onion,Stem Borer,Stem tunneling,22,36,29.0,60-80,Moderate
Onion,Onion Maggot,Larvae attack roots,18,32,25.0,60-85,Moderate
Tomato,Whitefly,"Sap sucking, virus transmission",22,35,28.5,60-80,Moderate
Tomato,Leaf Miner,Leaf tunneling,20,35,27.5,50-70,Low
Chili,Aphids,"Sap sucking, virus carrier",24,38,31.0,60-80,Moderate
Chili,Thrips,Leaf curling and silvering,20,35,27.5,50-70,Low
Turmeric,Rhizome Fly,Damage to rhizomes,22,35,28.5,60-80,Moderate
Turmeric,Shoot Borer,Shoot wilting,24,38,31.0,70-90,High
Sugarcane,Internode Borer,Bores into internodes,24,36,30.0,60-80,Moderate
Paddy,Rice Hispa,Leaf scrapping,22,35,28.5,60-80,Moderate
Groundnut,Leaf Miner,Leaf tunneling,20,34,27.0,50-70,Low
Groundnut,Red Hairy Caterpillar,Leaf defoliation,24,38,31.0,60-85,High
Coconut,Black Headed Caterpillar,Leaf defoliation,25,35,30.0,70-90,Moderate
